Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
Just Dance,Lady Gaga,Minor,0,C,C,6,C,6,C,4,C,2,5,C,4,C,2,C,C,C,6,6,C,6,C,4,C,5,C,3,4,C,2,C,C,C,C,C
Just Dance,Lady Gaga,Minor,0,2,C,0,C,2,C,2,C,2,4,C,4,C,2,C,C,C,6,C,C,6,C,6,C,4,C,3,5,C,4,C,2,C,C,C
Just Dance,Lady Gaga,Minor,0,2,C,0,C,C,C,2,2,2,2,C,2,C,2,C,C,C,6,C,C,1,C,C,C,1,C,3,C,C,1,C,C,C,2,C
Paparazzi,Lady Gaga,Major,0,0,0,0,0,0,C,1,-1,4,C,-1,-1,-1,-1,C,0,2,5,C,0,C,C,-2,-1,C,C,3,-2,-1,C,2,C,0,C,C
Paparazzi,Lady Gaga,Major,0,4,C,3,C,2,1,C,-1,4,C,C,C,-3,-3,-3,-3,-3,5,4,C,3,C,2,1,C,-2,3,C,C,C,C,C,C,C,C
I Kissed A Girl,Katy Perry,Minor,0,C,C,2,C,1,C,-1,-3,2,C,-3,2,1,C,-1,C,-2,3,C,C,-2,C,-2,C,-2,C,5,-2,C,-1,-2,C,-3,C,C
I Kissed A Girl,Katy Perry,Minor,0,C,C,0,C,2,3,C,4,2,C,C,0,C,2,3,C,4,3,C,C,0,C,2,3,C,4,5,C,C,2,C,3,C,2,C
Hot N Cold,Katy Perry,Major,0,2,C,C,C,C,2,0,1,4,C,C,C,C,C,1,0,1,1,C,C,C,C,C,2,0,-2,3,C,C,C,C,C,C,-3,C
Hot N Cold,Katy Perry,Major,0,C,0,0,C,0,C,-3,-1,4,C,0,0,C,0,C,-3,1,1,C,1,2,C,-2,C,-3,1,3,C,1,2,C,-2,-3,-3,0
Apologize,One Republic,Minor,0,7,6,7,6,6,C,6,4,5,6,C,6,C,6,C,3,4,2,4,C,C,C,C,C,C,2,1,1,C,C,C,C,C,C,C
Apologize,One Republic,Minor,0,6,6,C,2,2,0,2,0,5,C,C,C,C,C,C,C,2,2,6,6,C,C,C,C,C,2,1,1,C,C,C,1,2,2,2
Viva La Vida,Coldplay,Major,0,6,C,C,C,C,C,7,5,1,C,C,C,C,C,5,C,1,4,5,C,5,4,6,C,1,2,2,C,C,6,6,6,6,6,6
Viva La Vida,Coldplay,Major,0,6,C,C,C,C,C,7,5,1,C,C,C,C,C,5,C,1,4,5,C,5,C,5,C,6,4,2,C,3,2,C,C,C,C,C
Viva La Vida,Coldplay,Major,0,-1,C,C,C,C,C,0,-2,1,C,C,C,C,C,C,-3,-3,4,-1,-2,-3,-3,C,C,-1,-2,2,-3,-3,C,C,2,2,2,2
Viva La Vida,Coldplay,Major,0,2,C,C,C,C,C,0,1,1,C,C,C,C,C,1,C,1,4,1,C,C,1,1,C,0,-1,2,C,C,-1,-1,-1,-1,-1,-1
Viva La Vida,Coldplay,Major,0,2,C,2,C,2,1,2,3,1,C,3,C,3,C,C,C,C,4,1,C,1,C,1,C,1,-1,2,0,-1,C,C,-1,-1,-1,-1
Viva La Vida,Coldplay,Major,0,6,C,C,C,C,7,C,5,1,C,C,C,C,C,4,5,4,4,3,3,C,C,6,C,3,4,2,C,C,C,C,C,C,C,C
Last Friday Night,Katy Perry,Major,0,1,C,1,C,1,C,-1,0,5,1,C,1,C,1,C,-3,1,2,C,-1,C,C,C,C,1,-2,1,C,C,C,C,C,C,-1,0
Last Friday Night,Katy Perry,Major,0,C,C,-1,-1,-1,-2,-2,-3,5,-3,C,-1,-1,-1,-2,-2,-3,2,-3,C,-1,-1,-1,-2,-2,-3,1,-2,C,-1,C,-2,-3,C,-3
Grenade,Bruno Mars,Minor,0,C,C,C,C,2,C,0,C,5,5,C,C,C,C,C,C,C,2,4,C,3,C,3,C,3,C,6,3,C,2,C,3,C,4,C
Grenade,Bruno Mars,Minor,0,C,C,C,C,2,C,0,C,5,5,C,C,C,C,C,C,C,2,4,C,0,C,2,C,3,C,6,6,C,5,C,4,C,5,C
Timber,Pitbull,Minor,0,C,C,C,C,C,4,3,2,2,4,6,C,C,C,C,C,C,6,6,C,C,C,C,4,3,2,5,0,2,C,C,C,4,3,2
Sugar,Maroon 5,Major,0,C,6,5,4,4,C,C,C,2,C,6,5,4,4,C,C,C,5,C,6,5,4,5,5,2,5,4,5,5,5,4,4,C,C,C
Sugar,Maroon 5,Major,0,2,C,C,C,C,-3,4,C,2,2,C,C,C,C,1,2,6,5,C,5,5,4,4,5,C,4,4,C,C,C,C,C,-3,4,C
Sugar,Maroon 5,Major,0,C,5,5,4,4,5,C,6,2,C,5,5,4,4,C,C,6,5,C,5,5,4,4,5,C,6,4,C,2,2,4,C,C,4,C
Wrecking Ball,Miley Cyrus,Minor,0,0,C,4,C,0,C,4,C,2,-1,C,4,C,-1,C,-1,1,6,C,0,C,C,1,0,1,2,3,C,1,0,C,C,C,4,C
